#metadataBlock	name	dataverseAlias	displayName													
	biomedicalBiomedicalDataType		Biomedical Data Type													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	biomedicalBiomedicalDataTypeDataType	Data Type	Type of generic biomedical data.		text	0		TRUE	TRUE	TRUE	TRUE	FALSE	TRUE		biomedicalBiomedicalDataType	
	biomedicalBiomedicalDataTypeSubjectType	Subject Type	Indicates the type of subject, human or animal.		text	1		FALSE	TRUE	TRUE	FALSE	FALSE	FALSE		biomedicalBiomedicalDataType	
	biomedicalBiomedicalDataTypeNumberOfSubjects	 Number of Subjects	The amount of subjects.		int	2		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		biomedicalBiomedicalDataType	
	biomedicalBiomedicalDataTypeSubjectHealthCondition	Subject Health Condition	The health condition of the subject.		text	3		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		biomedicalBiomedicalDataType	
	biomedicalBiomedicalDataTypeLaboratoryData	Laboratory Data	Indicates if the data is from a laboratory.		text	4		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		biomedicalBiomedicalDataType	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	biomedicalBiomedicalDataTypeDataType	Biological samples		0												
	biomedicalBiomedicalDataTypeDataType	Genetic / omics data		1												
	biomedicalBiomedicalDataTypeDataType	Imaging data		2												
	biomedicalBiomedicalDataTypeDataType	Qualitative data and quantitative questionnaires		3												
	biomedicalBiomedicalDataTypeDataType	Physiological data		4												
	biomedicalBiomedicalDataTypeDataType	Synthetic data		5												
	biomedicalBiomedicalDataTypeSubjectType	Human	S1	0												
	biomedicalBiomedicalDataTypeSubjectType	Animal	S2	1												
	biomedicalBiomedicalDataTypeSubjectType	Organism	S3	2												
	biomedicalBiomedicalDataTypeSubjectType	Object	S4	3												
	biomedicalBiomedicalDataTypeLaboratoryData	Yes	L1	0												
	biomedicalBiomedicalDataTypeLaboratoryData	No	L2	1												
